Name,Alias,Description,Status,DN,UID,Annotation,Child Action,Externally Managed By,Local Owner,Monitoring Policy DN,User Domain,Configuration Issues,Configuration State,Exception Tag,Flood On Encapsulation,Forward Control,Has Multicast Source,Is Attribute Based EPG,Is Shared Service Multicast Site EPG,Match T,PC Enforcement Preference,PC Tag,PC Tag Allocation Source,Preference Gr Member,Priority,Scope,Shutdown,Trigger State,TX Id,Modified Timestamp
Database,,,,uni/tn-SnV/ap-Power_Up/epg-Database,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49156,idmanager,exclude,unspecified,2850816,no,triggerable,8070450532247932791,2022-11-17T18:22:50.147+00:00
test,,,,uni/tn-common/ap-default/epg-test,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,16386,idmanager,exclude,level3,2195456,no,triggerable,1729382256910275703,2022-11-17T18:56:27.492+00:00
ave-ctrl,,,,uni/tn-infra/ap-ave-ctrl/epg-ave-ctrl,0,,,,local,uni/tn-common/monepg-default,all,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49153,idmanager,exclude,unspecified,2293761,no,triggerable,5764607523034234882,2022-11-17T15:50:04.353+00:00
default,,,,uni/tn-infra/ap-access/epg-default,0,,,,local,uni/tn-common/monepg-default,all,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49154,idmanager,exclude,unspecified,16777199,no,triggerable,5764607523034234882,2022-11-17T15:50:03.855+00:00
123,,,,uni/tn-infra/ap-access/epg-123,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49154,idmanager,exclude,unspecified,2293761,no,triggerable,5764607523034235087,2022-11-17T15:52:44.140+00:00
VLAN_3522_EPG,,Ticketing EPG,,uni/tn-ab/ap-INTERNET_NAT_shapping_APP/epg-VLAN_3522_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49153,idmanager,exclude,unspecified,3047425,no,triggerable,14987979559889011060,2022-11-17T15:54:12.499+00:00
VLAN_3521_EPG,,Ticketing EPG,,uni/tn-ab/ap-INTERNET_NAT_shapping_APP/epg-VLAN_3521_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,16388,idmanager,exclude,unspecified,3047425,no,triggerable,14987979559889011074,2022-11-17T15:54:15.679+00:00
VLAN201,,,,uni/tn-TEST_GK/ap-TEST_GK_VERITAS/epg-VLAN201,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32771,idmanager,exclude,level3,2555904,no,triggerable,16140901064495858157,2022-11-17T16:03:23.069+00:00
VLAN202,,,,uni/tn-TEST_GK/ap-TEST_GK_VERITAS/epg-VLAN202,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,16388,idmanager,exclude,level3,2555904,no,triggerable,16140901064495858157,2022-11-17T16:03:23.069+00:00
EPG_MASTER_VERITAS,,,,uni/tn-TEST_GK/ap-TEST_GK_VERITAS/epg-EPG_MASTER_VERITAS,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32773,idmanager,exclude,level3,2555904,no,triggerable,16140901064495858157,2022-11-17T16:03:23.069+00:00
VLAN203,,,,uni/tn-TEST_GK/ap-TEST_GK_VERITAS/epg-VLAN203,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32772,idmanager,exclude,level3,2555904,no,triggerable,16140901064495858157,2022-11-17T16:03:23.069+00:00
Vlan8_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan8_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,16390,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495858852,2022-11-17T16:24:28.261+00:00
Vlan9_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan9_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49159,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495858948,2022-11-17T16:27:49.823+00:00
Vlan18_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan18_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32773,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495858954,2022-11-17T16:27:51.127+00:00
Vlan19_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan19_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32774,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495858964,2022-11-17T16:27:52.370+00:00
Vlan28_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan28_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,16391,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495858969,2022-11-17T16:27:53.605+00:00
Vlan38_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan38_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49160,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495858977,2022-11-17T16:27:54.870+00:00
Vlan58_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan58_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,16392,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495858983,2022-11-17T16:27:56.088+00:00
Vlan68_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan68_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32775,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495858991,2022-11-17T16:27:57.373+00:00
Vlan78_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan78_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32776,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495858999,2022-11-17T16:27:58.649+00:00
Vlan98_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan98_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,16393,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495859005,2022-11-17T16:27:59.891+00:00
Vlan88_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan88_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49161,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495859013,2022-11-17T16:28:01.168+00:00
Vlan81_EPG,,,,uni/tn-S2TBK_HOLDINGS-TN/ap-GOATS_APP/epg-Vlan81_EPG,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32777,idmanager,exclude,unspecified,2654208,no,triggerable,16140901064495859021,2022-11-17T16:28:02.412+00:00
epg_b1,,EPG blue one,,uni/tn-blue/ap-ap_blue_web/epg-epg_b1,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32771,idmanager,exclude,unspecified,2129920,no,triggerable,7493989779944507163,2022-11-17T16:54:54.083+00:00
web,,,,uni/tn-Heroes/ap-Save_The_Planet/epg-web,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49154,idmanager,exclude,unspecified,2949120,no,triggerable,14411518807585591142,2022-11-17T18:22:49.779+00:00
app,,,,uni/tn-Heroes/ap-Save_The_Planet/epg-app,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32771,idmanager,exclude,unspecified,2949120,no,triggerable,14411518807585591142,2022-11-17T18:22:49.779+00:00
db,,,,uni/tn-Heroes/ap-Save_The_Planet/epg-db,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32772,idmanager,exclude,unspecified,2949120,no,triggerable,14411518807585591142,2022-11-17T18:22:49.779+00:00
Web,,,,uni/tn-SnV/ap-Chaos/epg-Web,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,16387,idmanager,exclude,unspecified,2850816,no,triggerable,8070450532247932791,2022-11-17T18:22:50.147+00:00
Web,,,,uni/tn-SnV/ap-Rescue/epg-Web,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,16386,idmanager,exclude,unspecified,2850816,no,triggerable,8070450532247932791,2022-11-17T18:22:50.147+00:00
Database,,,,uni/tn-SnV/ap-Rescue/epg-Database,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49155,idmanager,exclude,unspecified,2850816,no,triggerable,8070450532247932791,2022-11-17T18:22:50.147+00:00
Database,,,,uni/tn-SnV/ap-Chaos/epg-Database,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32772,idmanager,exclude,unspecified,2850816,no,triggerable,8070450532247932791,2022-11-17T18:22:50.147+00:00
Web,,,,uni/tn-SnV/ap-Power_Up/epg-Web,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,49157,idmanager,exclude,unspecified,2850816,no,triggerable,8070450532247932791,2022-11-17T18:22:50.147+00:00
Database,,,,uni/tn-SnV/ap-Evolution_X/epg-Database,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32770,idmanager,exclude,unspecified,2850816,no,triggerable,8070450532247932791,2022-11-17T18:22:50.147+00:00
Web,,,,uni/tn-SnV/ap-Evolution_X/epg-Web,15374,,,,local,uni/tn-common/monepg-default,:all:,,applied,,disabled,,no,no,no,AtleastOne,unenforced,32771,idmanager,exclude,unspecified,2850816,no,triggerable,8070450532247932791,2022-11-17T18:22:50.147+00:00
