Name,Name Alias,Access Privilege,Annotation,Apply To Fragments,ARP Opc,Child Action,Destination From Port,Destination To Port,Description,DN,EtherType,Externally Managed By,ICMPv4 T,ICMPv6 T,Local Owner,Match DSCP,Last Modified,Monitoring Policy DN,Protocol,Source From Port,Source To Port,Stateful,Status,TCP Rules,UID,User Domain
est,,USER,,no,unspecified,,unspecified,unspecified,,uni/tn-common/flt-est/e-est,ip,,unspecified,unspecified,local,unspecified,2022-11-17T15:49:20.367+00:00,uni/tn-common/monepg-default,tcp,unspecified,unspecified,no,,est,0,all
icmp,,USER,,no,unspecified,,unspecified,unspecified,,uni/tn-common/flt-icmp/e-icmp,ip,,unspecified,unspecified,local,unspecified,2022-11-17T15:49:20.367+00:00,uni/tn-common/monepg-default,icmp,unspecified,unspecified,no,,,0,all
default,,USER,,no,unspecified,,unspecified,unspecified,,uni/tn-common/flt-default/e-default,unspecified,,unspecified,unspecified,local,unspecified,2022-11-17T15:49:20.367+00:00,uni/tn-common/monepg-default,unspecified,unspecified,unspecified,no,,,0,all
arp,,USER,,no,unspecified,,unspecified,unspecified,,uni/tn-common/flt-arp/e-arp,arp,,unspecified,unspecified,local,unspecified,2022-11-17T15:49:20.367+00:00,uni/tn-common/monepg-default,unspecified,unspecified,unspecified,no,,,0,all
permit_all,,USER,,no,unspecified,,unspecified,unspecified,,uni/tn-TEST_GK/flt-VERITAS_deny_all_Fltr/e-permit_all,unspecified,,unspecified,unspecified,local,unspecified,2022-11-17T16:03:22.886+00:00,uni/tn-common/monepg-default,unspecified,unspecified,unspecified,no,,,15374,:all:
permit_all,,USER,,no,unspecified,,unspecified,unspecified,,uni/tn-TEST_GK/flt-VERITAS_permit_all_Fltr/e-permit_all,unspecified,,unspecified,unspecified,local,unspecified,2022-11-17T16:03:22.886+00:00,uni/tn-common/monepg-default,unspecified,unspecified,unspecified,no,,,15374,:all:
tcp_9001-9002,,USER,,no,unspecified,,9001,9002,,uni/tn-common/flt-power_up/e-tcp_9001-9002,ip,,unspecified,unspecified,local,unspecified,2022-11-17T18:22:49.369+00:00,uni/tn-common/monepg-default,tcp,unspecified,unspecified,no,,,15374,:all:
tcp-1433,,USER,,no,unspecified,,1433,1433,,uni/tn-common/flt-sql_server/e-tcp-1433,ip,,unspecified,unspecified,local,unspecified,2022-11-17T18:22:49.369+00:00,uni/tn-common/monepg-default,tcp,unspecified,unspecified,no,,,15374,:all:
udp-1434,,USER,,no,unspecified,,1434,1434,,uni/tn-common/flt-sql_browser/e-udp-1434,ip,,unspecified,unspecified,local,unspecified,2022-11-17T18:22:49.369+00:00,uni/tn-common/monepg-default,udp,unspecified,unspecified,no,,,15374,:all:
tcp-80,,USER,,no,unspecified,,http,http,,uni/tn-common/flt-http/e-tcp-80,ip,,unspecified,unspecified,local,unspecified,2022-11-17T18:22:49.369+00:00,uni/tn-common/monepg-default,tcp,unspecified,unspecified,no,,,15374,:all:
tcp-443,,USER,,no,unspecified,,https,https,,uni/tn-common/flt-https/e-tcp-443,ip,,unspecified,unspecified,local,unspecified,2022-11-17T18:22:49.369+00:00,uni/tn-common/monepg-default,tcp,unspecified,unspecified,no,,,15374,:all:
tcp-80,,USER,,no,unspecified,,http,http,,uni/tn-SnV/flt-http/e-tcp-80,ip,,unspecified,unspecified,local,unspecified,2022-11-17T18:22:50.147+00:00,uni/tn-common/monepg-default,tcp,unspecified,unspecified,no,,,15374,:all:
tcp-1433,,USER,,no,unspecified,,1433,1433,,uni/tn-SnV/flt-sql/e-tcp-1433,ip,,unspecified,unspecified,local,unspecified,2022-11-17T18:22:50.147+00:00,uni/tn-common/monepg-default,tcp,unspecified,unspecified,no,,,15374,:all:
